idCompra;idItemCompra;forma;modalidade;criterioJulgamento;numeroItemCompra;descricaoItem;codigoItemCatalogo;nomeUnidadeMedida;siglaUnidadeMedida;nomeUnidadeFornecimento;siglaUnidadeFornecimento;capacidadeUnidadeFornecimento;quantidade;precoUnitario;percentualMaiorDesconto;niFornecedor;nomeFornecedor;marca;codigoUasg;nomeUasg;codigoMunicipio;municipio;estado;codigoOrgao;nomeOrgao;poder;esfera;dataCompra;dataHoraAtualizacaoCompra;dataHoraAtualizacaoItem;dataResultado;dataHoraAtualizacaoUasg;codigoClasse;nomeClasse;;;
15303805900202025;10325018;SISRP;5;V;18;SERVIDOR, TIPO: TORRE , PROCESSADORES FÍSICOS: 1 , NÚCLEOS POR PROCESSADOR: 15 A 20 , MEMÓRIA RAM: 64 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: SEM SAN , ARMAZENAMENTO SATA: COM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: SEM REDUNDÂNCIA , SISTEMA OPERACIONAL: PROPRIETÁRIO , GARANTIA ON SITE: 36 MESES;626070;null;;UNIDADE;UN;0;2;26.853,00;0;4,81999E+13;P. CHELES COMERCIO E SERVICOS LTDA;SERVIDOR;153038;UNIVERSIDADE FEDERAL DA BAHIA-UF/BA;2927408;SALVADOR;BA;26232;UNIVERSIDADE FEDERAL DA BAHIA;E;F;09/12/2025;2025-12-10T01:10:11.277721;2025-12-10T03:04:48.378650;09/12/2025;2025-07-07T15:15;7010;COMPUTADORES;;;
15303805900202025;10325017;SISRP;5;V;17;SERVIDOR, TIPO: TORRE , PROCESSADORES FÍSICOS: 1 , NÚCLEOS POR PROCESSADOR: 15 A 20 , MEMÓRIA RAM: 64 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: SEM SAN , ARMAZENAMENTO SATA: COM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: SEM REDUNDÂNCIA , SISTEMA OPERACIONAL: PROPRIETÁRIO , GARANTIA ON SITE: 36 MESES;626070;null;;UNIDADE;UN;0;8;26.853,00;0;4,81999E+13;P. CHELES COMERCIO E SERVICOS LTDA;SERVIDOR;153038;UNIVERSIDADE FEDERAL DA BAHIA-UF/BA;2927408;SALVADOR;BA;26232;UNIVERSIDADE FEDERAL DA BAHIA;E;F;09/12/2025;2025-12-10T01:10:11.277721;2025-12-10T03:04:48.345182;09/12/2025;2025-07-07T15:15;7010;COMPUTADORES;;;
98547305900712025;10084206;SISRP;5;V;26;SERVIDOR, TIPO: TORRE , PROCESSADORES FÍSICOS: 1 , NÚCLEOS POR PROCESSADOR: 15 A 20 , MEMÓRIA RAM: 64 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: SEM SAN , ARMAZENAMENTO SATA: COM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: SEM REDUNDÂNCIA , SISTEMA OPERACIONAL: PROPRIETÁRIO , GARANTIA ON SITE: 36 MESES;626070;null;;UNIDADE;UN;0;10;300;0;2,73597E+13;CARLOS INFORMATICA E CURSOS LTDA;MACROVIP;985473;PREFEITURA MUNICIPAL DE CRUZEIRO DO IGUACU-PR;4106571;CRUZEIRO DO IGUAÇU;PR;97993;PREFEITURA DE CRUZEIRO DO IGUACU - PR;E;M;07/11/2025;2025-11-08T01:10:10.654555;2025-11-08T03:04:00.026365;07/11/2025;2023-06-26T16:38;7010;COMPUTADORES;;;
92561105900172025;10029968;SISRP;5;V;10;SERVIDOR, TIPO: TORRE , PROCESSADORES FÍSICOS: 1 , NÚCLEOS POR PROCESSADOR: 15 A 20 , MEMÓRIA RAM: 64 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: SEM SAN , ARMAZENAMENTO SATA: COM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: SEM REDUNDÂNCIA , SISTEMA OPERACIONAL: PROPRIETÁRIO , GARANTIA ON SITE: 36 MESES;626070;null;;UNIDADE;UN;0;1;22.190,00;0;1,83879E+13;COMERCIAL TOP MIX LTDA;DELL;925611;UNIVERSIDADE ESTADUAL DO PARA;1501402;BELÉM;PA;93467;UNIVERSIDADE ESTADUAL DO PARA;E;E;04/11/2025;2025-11-05T01:10:10.676935;2025-11-05T03:01:14.613605;04/11/2025;2024-04-07T15:14;7010;COMPUTADORES;;;
93241005900092025;9536813;SISRP;5;V;5;SERVIDOR, TIPO: TORRE , PROCESSADORES FÍSICOS: 1 , NÚCLEOS POR PROCESSADOR: 15 A 20 , MEMÓRIA RAM: 64 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: SEM SAN , ARMAZENAMENTO SATA: COM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: SEM REDUNDÂNCIA , SISTEMA OPERACIONAL: PROPRIETÁRIO , GARANTIA ON SITE: 36 MESES;626070;null;;UNIDADE;UN;0;1;21.530,00;0;08619872000144;TECZAP COMERCIO E DISTRIBUICAO LTDA;SUPERMICRO;932410;EMPRESA PARAIBANA DE COMUNICAÇAO/PB;2507507;JOÃO PESSOA;PB;86467;EMPRESA PARAIBANA DE COMUNICAÇAO/PB;E;E;22/09/2025;2025-09-23T01:10:11.869075;2025-09-23T03:00:29.227090;22/09/2025;2025-02-13T10:38;7010;COMPUTADORES;;;
93289505900192025;9224169;SISRP;5;V;65;SERVIDOR, TIPO: TORRE , PROCESSADORES FÍSICOS: 1 , NÚCLEOS POR PROCESSADOR: 15 A 20 , MEMÓRIA RAM: 64 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: SEM SAN , ARMAZENAMENTO SATA: COM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: SEM REDUNDÂNCIA , SISTEMA OPERACIONAL: PROPRIETÁRIO , GARANTIA ON SITE: 36 MESES;626070;null;;UNIDADE;UN;0;40;105;0;4,93415E+13;TKS IMPORTS LTDA;240GB;932895;PREFEITURA MUNICIPAL DE IGUARAÇU/PR;4110003;IGUARAÇU;PR;86613;PREFEITURA MUNICIPAL DE IGUARAÇU/PR;E;M;25/08/2025;2025-08-26T01:10:08.979013;2025-08-26T03:02:32.790918;25/08/2025;2025-03-31T17:47;7010;COMPUTADORES;;;
93006805900012025;8755371;SISPP;5;V;5;SERVIDOR, TIPO: TORRE , PROCESSADORES FÍSICOS: 1 , NÚCLEOS POR PROCESSADOR: 15 A 20 , MEMÓRIA RAM: 64 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: SEM SAN , ARMAZENAMENTO SATA: COM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: SEM REDUNDÂNCIA , SISTEMA OPERACIONAL: PROPRIETÁRIO , GARANTIA ON SITE: 36 MESES;626070;null;;UNIDADE;UN;0;1;3.200,00;0;5,93334E+13;59.333.355 EVERALDO DE SOUZA LOPES;Asustor;930068;CAMARA MUNICIPAL DE VEREADORES DE PINHÃO - PR;4119301;PINHÃO;PR;98245;CÂMARA MUNICIPAL DE VEREADORES DE PINHÃO - PR;;M;08/07/2025;2025-07-09T01:10:15.191143;2025-07-09T03:02:21.190586;08/07/2025;2024-04-06T15:14;7010;COMPUTADORES;;;
98586705900552025;8746656;SISPP;5;V;5;SERVIDOR, TIPO: TORRE , PROCESSADORES FÍSICOS: 1 , NÚCLEOS POR PROCESSADOR: 15 A 20 , MEMÓRIA RAM: 64 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: SEM SAN , ARMAZENAMENTO SATA: COM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: SEM REDUNDÂNCIA , SISTEMA OPERACIONAL: PROPRIETÁRIO , GARANTIA ON SITE: 36 MESES;626070;null;;UNIDADE;UN;0;11;11.859,00;0;2,712E+13;THADS SERVICOS LTDA;Integralizado;985867;PREFEITURA MUNICIPAL DE NOVA FRIBURGO - RJ;3303401;NOVA FRIBURGO;RJ;99034;PREFEITURA MUNICIPAL DE NOVA FRIBURGO - RJ;E;M;07/07/2025;2025-07-08T01:10:13.214244;2025-07-08T03:02:59.128781;07/07/2025;2024-04-06T15:14;7010;COMPUTADORES;;;
98586705900552025;8746655;SISPP;5;V;4;SERVIDOR, TIPO: TORRE , PROCESSADORES FÍSICOS: 1 , NÚCLEOS POR PROCESSADOR: 15 A 20 , MEMÓRIA RAM: 64 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: SEM SAN , ARMAZENAMENTO SATA: COM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: SEM REDUNDÂNCIA , SISTEMA OPERACIONAL: PROPRIETÁRIO , GARANTIA ON SITE: 36 MESES;626070;null;;UNIDADE;UN;0;2;32.500,00;0;5,54723E+13;ALLFA IMPORTS COMERCIO LTDA;Intel;985867;PREFEITURA MUNICIPAL DE NOVA FRIBURGO - RJ;3303401;NOVA FRIBURGO;RJ;99034;PREFEITURA MUNICIPAL DE NOVA FRIBURGO - RJ;E;M;07/07/2025;2025-07-08T01:10:13.214244;2025-07-08T03:02:59.104598;07/07/2025;2024-04-06T15:14;7010;COMPUTADORES;;;
98586705900552025;8746658;SISPP;5;V;7;SERVIDOR, TIPO: TORRE , PROCESSADORES FÍSICOS: 1 , NÚCLEOS POR PROCESSADOR: 15 A 20 , MEMÓRIA RAM: 64 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: SEM SAN , ARMAZENAMENTO SATA: COM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: SEM REDUNDÂNCIA , SISTEMA OPERACIONAL: PROPRIETÁRIO , GARANTIA ON SITE: 36 MESES;626070;null;;UNIDADE;UN;0;4;11.859,00;0;2,712E+13;THADS SERVICOS LTDA;Integralizado;985867;PREFEITURA MUNICIPAL DE NOVA FRIBURGO - RJ;3303401;NOVA FRIBURGO;RJ;99034;PREFEITURA MUNICIPAL DE NOVA FRIBURGO - RJ;E;M;07/07/2025;2025-07-08T01:10:13.214244;2025-07-08T03:02:59.185064;07/07/2025;2024-04-06T15:14;7010;COMPUTADORES;;;
